DHSCLUST,Total_Road_Length,Main_Roads_Length,Secondary_Roads_Length,Local_Roads_Length,Tracks_Length,Total_Bldg_Count,Bldg_residential_Count,Bldg_commercial_Count,Bldg_industrial_Count,Bldg_school_Count,Bldg_hospital_Count,Total_Bldg_Area,Total_POI_Count,POI_bank_Count,POI_hotel_Count,POI_fast_food_Count,POI_convenience_Count,POI_school_Count,POI_hospital_Count,VIIRS_Median
31,101.70946846139591,10.83735103690369,49.45775228398869,37.07830387141258,4.33606126909095,2208,0,0,0,0,0,200678.91241243243,6,0,0,0,0,4,0,0.28
56,35.32508482733722,4.111245561853518,6.5515823340828225,22.265696060410548,2.309542771014583,1498,0,0,0,0,0,219548.72820753185,1,0,0,0,0,0,0,0.48
63,8.176511317423191,0.0,0.0,0.0,0.20090725639204016,409,0,0,0,0,0,43161.07566470852,0,0,0,0,0,0,0,0.18
67,49.82440948243518,0.0,16.018693615103004,28.349774728721556,1.9374964129519066,4836,0,0,0,0,0,278715.5331813731,65,7,2,5,0,10,0,1.2974999
74,91.82035067130968,0.0,27.448311871968073,63.217852842659234,1.1541859566824018,2677,0,0,0,0,0,173869.35723454045,0,0,0,0,0,0,0,0.26
76,43.15545308991215,3.385664540653657,6.268134282454517,32.615547425247506,0.8861068415564719,5419,0,0,0,0,0,408723.4322204337,12,0,2,1,3,1,0,0.44
79,178.1027306270033,15.684499567937728,28.330909502570865,131.86424408483074,2.2230774716639425,18916,0,0,0,0,0,1417135.3731244472,64,3,3,3,12,4,0,0.365
138,26.389089301417126,0.0,11.952751119401343,3.578822946243479,10.857515235772304,1188,0,0,0,0,0,50829.849414709104,0,0,0,0,0,0,0,0.235
164,92.88713685114487,10.018318351547451,26.02198693507426,50.17097063041371,6.623749648775821,225,0,0,0,0,0,43101.083193075305,4,0,0,0,0,0,0,0.28
216,60.57278187522803,6.339332412509148,10.819234354861823,39.92493637749235,2.334511467825352,510,0,0,0,0,0,99425.57623191895,52,3,4,4,3,3,0,0.64750004
242,49.163903781726816,0.0,0.0,0.0,48.88776396372789,24,0,0,0,0,0,4014.6185774874857,1,0,0,0,0,0,0,0.2
249,46.980523820270584,2.27656665576203,0.46368321207391466,42.631214499576785,1.055468951099037,68,0,0,0,0,0,17589.23757148743,26,3,0,3,0,1,1,0.4525
263,22.84770084823934,0.0,0.0,21.08308167692184,1.7646191713175072,4,0,0,0,0,0,947.3253370018222,2,0,0,0,0,0,0,0.215
346,275.13705645110883,27.765540426324755,34.587417215948705,168.24636787722613,4.6955170166742475,10859,0,0,0,0,0,2527543.7754496434,579,38,4,57,38,7,0,16.039999
349,201.7015203442072,16.835546344769142,18.287274419430567,149.56907457156743,3.051728590040143,13718,0,0,0,0,0,2119272.0880979476,352,19,1,41,33,12,1,12.67
355,190.54228021344045,12.630953377399667,27.041781840398045,135.4598819075682,3.107679203029594,27859,0,0,0,0,0,2609174.1819030414,270,10,1,36,13,7,2,18.455
361,256.2097015731517,29.710679811233533,21.749052970923238,157.70995169753297,1.1911711734514694,9496,0,0,0,0,0,2499196.9584733024,514,28,10,87,36,1,0,30.14
393,323.64981013981395,36.23260315148828,38.943592323626504,208.1053810101995,1.0919058214215398,39725,0,0,0,0,0,5898504.257178878,631,62,2,62,63,7,0,25.885
405,266.3084479246081,17.968438810664548,31.74546505521196,199.57258991414187,0.25364504006932387,10952,0,0,0,0,0,2757376.722576678,432,45,1,64,47,1,2,16.6125
441,65.00002659694488,5.225861824241205,7.4110846830897135,44.09580789793779,2.3743428439013026,3975,0,0,0,0,0,490938.75204590074,113,9,0,12,6,0,0,0.9075
442,128.28342906831136,8.515956404756942,17.254582916318363,91.7142341270271,8.853090069867863,6321,0,0,0,0,0,789156.7648926002,78,0,0,2,13,0,0,0.3
450,18.88340804294626,0.0,0.0,17.741146884977848,1.1422611579684145,24,0,0,0,0,0,4109.894437185185,0,0,0,0,0,0,0,0.48000002
491,212.43478976554488,0.0,60.684967907670845,134.3915556078083,16.25502223997139,9000,0,0,0,0,0,708714.287020208,0,0,0,0,0,0,0,0.425
512,92.02435250229473,0.0,38.244433923338256,45.82416856190993,7.955750017046533,1897,0,0,0,0,0,157321.35318698612,1,0,0,0,0,0,0,0.28
532,147.83812813647117,0.0,25.3820884559309,107.75231728996857,13.3023032688872,1985,0,0,0,0,0,247303.2186287357,73,0,1,0,61,2,0,0.26999998
558,95.08465250436144,14.561401185472867,11.701704656556553,64.78613252970527,0.9084997350416498,223,0,0,0,0,0,208844.51509591128,12,0,1,0,1,1,0,4.2325
563,168.619294984475,4.987402606825364,15.458334959087109,145.1123862977172,0.9350630348216022,2627,0,0,0,0,0,367925.50646580954,43,0,5,1,8,3,1,5.1825
600,278.5379568419505,0.0,38.73238313391409,158.2164546831588,80.85100421668058,19413,0,0,0,0,0,1474866.5983495605,3,0,0,0,0,1,0,0.75
638,210.08525301703028,8.959371007046617,53.74862061825177,111.66795012978807,35.43263940820708,6612,0,0,0,0,0,753675.039311796,52,0,1,0,32,0,0,0.57000005
651,55.9742882456009,3.8112783343722407,7.379564865983617,43.13752853215259,0.025236794002424425,1942,0,0,0,0,0,284464.5730065955,66,3,0,4,8,1,0,1.205
667,35.816310690031806,0.0,14.276654547961785,18.68627248600645,2.366696337884776,3940,0,0,0,0,0,269085.0468578733,14,0,2,1,1,0,0,0.255
699,154.48093059755658,9.29739932122147,18.176600735583065,63.733273626458406,63.161502489323404,24001,0,0,0,0,0,1082347.7618162404,21,1,1,0,1,0,0,0.35500002
705,132.43371654498276,12.317229624900087,18.709891366730293,86.93822289947097,14.374581078639228,317,0,0,0,0,0,73677.45249708563,23,2,1,0,1,0,0,0.32
727,31.102373999113276,14.304857836962059,0.0,11.367987791384481,5.429528370766732,1377,0,0,0,0,0,72361.71007011342,0,0,0,0,0,0,0,0.24
784,135.42128035875558,7.464265816882582,16.940342628065725,100.38413889907032,8.164979196648167,650,0,0,0,0,0,388954.4657430503,124,6,1,5,7,1,0,6.6875
832,800.8749981990222,61.72626912146924,96.64839407534932,518.4329121596865,11.305887469755984,25703,0,0,0,0,0,5013481.279793882,2172,96,34,189,316,17,0,1.845
843,91.72806332412075,4.685602165278929,10.996033095882169,70.06396304718626,4.073015990578371,222,0,0,0,0,0,89960.8193500413,16,1,0,1,1,0,0,1.3175
876,210.67500193964057,14.877711046465175,25.536396564728125,137.17387798363347,9.951552076851744,9362,0,0,0,0,0,1484690.765124355,262,4,2,35,18,6,0,16.7775
895,88.39170018460348,20.84005614387796,8.52055482243431,36.30784979602615,22.68981384290888,7195,0,0,0,0,0,352312.9710433647,18,0,0,1,0,0,0,0.28
909,90.35001491655167,6.945673252594224,12.420802872058932,33.25737472812435,36.2960402786273,1848,0,0,0,0,0,176568.21905277524,8,0,0,0,0,0,0,0.205
948,107.24418245124471,5.610345025245537,16.171722683183315,73.87354255073608,4.037927534395031,6630,0,0,0,0,0,917187.4402644335,462,25,18,55,23,9,1,2.705
955,101.57747865165997,13.479212285856923,27.853215270276674,38.072450515167446,19.463529455350525,5243,0,0,0,0,0,278519.43698835175,18,0,0,1,0,0,0,0.29500002
1055,83.99395698606426,0.0,16.017608396064535,52.86128175071335,15.115066839286374,1225,0,0,0,0,0,212498.9010652124,1,0,0,0,0,0,0,0.34
1056,17.394444595520035,0.0,4.3516303324489405,6.385904768111438,6.656909494959654,9,0,0,0,0,0,903.3626245398461,0,0,0,0,0,0,0,0.225
1086,159.36974521269534,9.523635747926752,31.032482780857844,110.10120152799317,5.213751061732838,1655,0,0,0,0,0,647284.9087241921,263,15,8,21,20,5,1,6.41
1087,155.12152439524687,10.2866647265346,25.039828302372623,109.54493387165945,7.013090565672454,4947,0,0,0,0,0,835366.6759584645,219,10,8,13,13,7,1,4.62
1171,11.197111305355271,0.0,3.3379843340279782,6.5403435447840454,1.3187834265432479,5,0,0,0,0,0,1071.9673375885536,0,0,0,0,0,0,0,0.22
1180,107.51287589995549,3.9029711306508363,21.507738314071904,71.53404861052404,10.451421203662846,553,0,0,0,0,0,49788.60404806299,1,0,0,0,0,0,0,0.325
1182,104.94592818211876,14.30176804973197,22.935449157108756,57.993087853747134,9.715623121530896,442,0,0,0,0,0,46909.579539097715,6,0,0,2,0,0,0,0.265
1228,93.20111857856779,3.675822320443648,1.0645721132872656,24.206255810329196,64.25446833450768,523,0,0,0,0,0,92316.64286169282,1,0,0,0,0,0,0,0.5
